ebn0_db,ber_sim,ber_theory,ratio,n_bits,n_errors
0.0,0.079271,0.07864960352514258,1.0079008214537124,1000000,79271
1.0,0.056193,0.05628195197654147,0.9984195292910497,1000000,56193
2.0,0.037577,0.03750612835892598,1.0018896016244543,1000000,37577
3.0,0.022923,0.02287840756108532,1.0019491058892809,1000000,22923
4.0,0.01266,0.01250081804073755,1.012733723404637,1000000,12660
5.0,0.0061,0.005953867147778662,1.0245441909592925,1000000,6100
6.0,0.002285,0.002388290780932807,0.9567511704364307,1000000,2285
7.0,0.000761,0.0007726748153784446,0.9848903896618832,1000000,761
8.0,0.0001895,0.00019090777407599314,0.9926258944518793,2000000,379
9.0,3.433333333333333e-05,3.3627228419617505e-05,1.0209980110434524,6000000,206
