js_db,rho,ber_sim,ber_theory,ratio,n_bits,n_errors
0.0,0.1,7.766666666666667e-05,8.175501029409725e-05,0.9499927452430917,3000000,233
0.0,0.3,2.1157894736842106e-05,1.883715226029052e-05,1.1232002823188836,9500000,201
0.0,0.6,1.1885714285714286e-05,1.1950166348017801e-05,0.9946065970609518,17500000,208
0.0,1.0,1.041025641025641e-05,1.0039328062132435e-05,1.0369475273472821,19500000,203
2.0,0.1,0.000275,0.0002739484506296695,1.0038384935848825,1000000,275
2.0,0.3,4.14e-05,4.7326274210855784e-05,0.8747783486092297,5000000,207
2.0,0.6,2.1894736842105263e-05,2.243734519846508e-05,0.9758167309206912,9500000,208
2.0,1.0,1.5615384615384614e-05,1.626577050271328e-05,0.9600150581726101,13000000,203
4.0,0.1,0.000844,0.0008541771939638519,0.9880853831783729,500000,422
4.0,0.3,0.00013733333333333333,0.0001480853652672145,0.9273930147352539,1500000,206
4.0,0.6,6.085714285714286e-05,5.360917061846819e-05,1.1352002307638345,3500000,213
4.0,1.0,3.292307692307692e-05,3.192655170170064e-05,1.031213055223975,6500000,214
6.0,0.1,0.002168,0.0022580784079536727,0.960108379037509,500000,1084
6.0,0.3,0.000532,0.000508433229159843,1.046351751790692,500000,266
6.0,0.6,0.000162,0.00015921355769417703,1.0175012878688088,1500000,243
6.0,1.0,6.933333333333333e-05,7.772344122294826e-05,0.8920517702561823,3000000,208
8.0,0.1,0.004958,0.004908565422665857,1.0100710845384422,500000,2479
8.0,0.3,0.001564,0.0016717063765784794,0.9355709961465096,500000,782
8.0,0.6,0.000524,0.0005399532071146559,0.9704544636378681,500000,262
8.0,1.0,0.000217,0.00023104670082443944,0.9392040623202285,1000000,217
10.0,0.1,0.008928,0.008879977518001654,1.005407950853591,500000,4464
10.0,0.3,0.004814,0.004755668756719934,1.012265623672305,500000,2407
10.0,0.6,0.001912,0.0018525186394494598,1.032108373586037,500000,956
10.0,1.0,0.000784,0.000782701129001274,1.0016594724992711,500000,392
12.0,0.1,0.013876,0.013800070543189609,1.0055021064256706,500000,6938
12.0,0.3,0.011346,0.011162515756164153,1.016437535036358,500000,5673
12.0,0.6,0.005816,0.005731802157008476,1.0146895933748468,500000,2908
12.0,1.0,0.002592,0.0027046355323569965,0.9583546355841749,500000,1296
14.0,0.1,0.019094,0.019080546744538032,1.000705077042188,500000,9547
14.0,0.3,0.02142,0.02161520312314182,0.9909691747040383,500000,10710
14.0,0.6,0.014902,0.014870447883212762,1.0021218000315146,500000,7451
14.0,1.0,0.008548,0.008506922965698833,1.0048286594890767,500000,4274
16.0,0.1,0.024224,0.024198348009697272,1.0010600719641045,500000,12112
16.0,0.3,0.035582,0.03547314092729453,1.0030687745674562,500000,17791
16.0,0.6,0.031896,0.03166936924490601,1.0071561499485957,500000,15948
16.0,1.0,0.022366,0.02254593510559703,0.9920191775256036,500000,11183
18.0,0.1,0.029188,0.028825243747376043,1.0125846725114676,500000,14594
18.0,0.3,0.05124,0.051108563884186886,1.0025717043451066,500000,25620
18.0,0.6,0.056056,0.05626800640564052,0.9962322033570526,500000,28028
18.0,1.0,0.049054,0.04905080525271887,1.000065131393148,500000,24527
20.0,0.1,0.032484,0.03281968364172941,0.9897718806374296,500000,16242
20.0,0.3,0.066584,0.0668013981457888,0.9967456048552407,500000,33292
20.0,0.6,0.086238,0.086201469744736,1.000423777638272,500000,43119
20.0,1.0,0.089228,0.08876492620607684,1.0052168555049332,500000,44614
